month,n_accepted,n_rejected,applications,approval_rate
2017-08,43573,663421,706994,0.06163135755041768
2017-09,39713,657589,697302,0.05695236784061999
2017-10,38151,690301,728452,0.05237270266263254
2017-11,42343,707586,749929,0.056462678466894865
2017-12,38154,622600,660754,0.05774312376466885
2018-01,36347,668618,704965,0.05155858801500784
2018-02,32746,553228,585974,0.05588302552672986
2018-03,38771,653288,692059,0.05602268014721288
2018-04,42928,746146,789074,0.05440300909673871
2018-05,46311,896421,942732,0.04912424740010947
2018-06,41533,799414,840947,0.049388368113567206
2018-07,43089,859790,902879,0.04772400288410739
2018-08,46079,898812,944891,0.04876647147660418
2018-09,39026,826643,865669,0.045081896198200466
2018-10,46305,916557,962862,0.048091003695233586
2018-11,41973,843496,885469,0.04740199826306737
2018-12,40134,834369,874503,0.04589349607720042
